db_source,timestamp_utc,asset,leaf_id,direction,wr_reported,n_reported,open,high,low,close,rsi_5,stoch_k_v2,stoch_d_v2,bb_upper,bb_middle,bb_lower,bb_width_bps,ma6,ma14,ma_trend_bps,close_to_lower,close_to_upper,schaff_value,stc_zone,bb_position,stc_stoch_diff,stoch_kd_diff,exit_2m,pnl_2m,win_2m
trading_data.db,2026-04-25T05:12:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.031000,131.088000,131.021000,131.078000,70.854271,73.320405,46.600552,131.261996,131.059850,130.857704,30.847855,130.990333,131.002071,-0.896024,16.808791,14.039064,1.556352,oversold,0.544893,-71.764053,26.719853,131.051000,460,1
trading_data.db,2026-04-25T06:43:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.473000,131.539000,131.441000,131.529000,73.255814,63.039992,37.817609,131.634529,131.507250,131.379971,19.356959,131.450667,131.486929,-2.757833,11.332381,8.024578,0.444330,oversold,0.585442,-62.595662,25.222383,131.598000,-500,0
trading_data.db,2026-04-25T07:08:00.000Z,USDDZD_otc,L41,PUT,0.760000,50,131.861000,131.865000,131.794000,131.794000,2.542373,31.948511,50.483814,131.907126,131.747800,131.588474,24.186450,131.856833,131.765500,6.931506,15.599925,8.586525,99.180919,overbought,0.644986,67.232408,-18.535303,131.759000,460,1
trading_data.db,2026-04-25T07:36:00.000Z,USDDZD_otc,L16,CALL,0.686000,86,131.766000,131.766000,131.703000,131.720000,0,5.768121,4.192992,131.979172,131.861700,131.744228,17.817436,131.803333,131.851214,-3.631438,-1.837390,19.654825,,,-0.103123,,1.575130,131.626000,-500,0
trading_data.db,2026-04-25T07:37:00.000Z,USDDZD_otc,L16,CALL,0.686000,86,131.717000,131.723000,131.578000,131.591000,0,7.027632,5.089767,132.016285,131.850100,131.683915,25.208220,131.756000,131.827571,-5.429170,-7.046994,32.255214,,,-0.279551,,1.937865,131.575000,-500,0
trading_data.db,2026-04-25T08:11:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.631000,131.669000,131.622000,131.658000,66.666667,60.249723,33.941975,131.745397,131.615950,131.486503,19.670450,131.568167,131.629714,-4.675815,13.030127,6.640323,14.283545,oversold,0.662421,-45.966178,26.307748,131.654000,460,1
trading_data.db,2026-04-25T09:48:00.000Z,USDDZD_otc,L41,PUT,0.760000,50,131.760000,131.804000,131.746000,131.752000,12.921348,18.279570,38.351254,131.929176,131.742900,131.556624,28.278720,131.816667,131.796500,1.530137,14.830100,13.448621,99.713814,overbought,0.524426,81.434245,-20.071685,131.838000,-500,0
trading_data.db,2026-04-25T10:45:00.000Z,USDDZD_otc,L16,CALL,0.686000,86,131.575000,131.607000,131.538000,131.576000,0,7.134102,7.606135,132.077504,131.834950,131.592396,36.796662,131.689667,131.777286,-6.649025,-1.243653,38.040315,0.790591,oversold,-0.033798,-6.343511,-0.472033,131.545000,-500,0
trading_data.db,2026-04-25T12:19:00.000Z,USDDZD_otc,L41,PUT,0.760000,50,131.690000,131.692000,131.624000,131.639000,0,24.499224,42.110092,131.763841,131.658150,131.552459,16.055312,131.706500,131.665214,3.135658,6.573132,9.482180,95.744734,overbought,0.409405,71.245510,-17.610868,131.687000,-500,0
trading_data.db,2026-04-25T12:29:00.000Z,USDDZD_otc,L65,PUT,0.637800,323,131.659000,131.686000,131.641000,131.660000,58.333333,79.224771,46.318788,131.791538,131.648750,131.505962,21.692235,131.567167,131.627286,-4.567370,11.700664,9.991571,14.005459,oversold,0.539394,-65.219312,32.905983,131.666000,-500,0
